"domain","success","hasPartnershipSignals","confidenceScore","emails","evidenceUrl","matchedKeywords","evidenceSnippet","errorCount"
"chsra.com","yes","no","45","secretarychsra@gmail.com;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;8c30b2581acc426badc414e8a5dc04ef@sentry.wixpress.com;8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com;2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com;jlazythree@aol.com;earlenebrooks@prodigy.net;arlb77@hotmail.com","https://chsra.com","","","0"
"www.asga.org","yes","no","45","info@asga.org","https://www.asga.org","","","0"
"www.napabalawfoundation.org","yes","no","45","user@domain.com;info@napabalawfoundation.org;nlfstaff@napaba.org;ttmc@napabalawfoundation.org","https://www.napabalawfoundation.org","","","0"
"www.velouchi.org","yes","no","45","ypotrofiesvelouchi@gmail.com;president@velouchiusa.com;spiro.kaltsounis@gmail.com;jdoulaveris@gmail.com;golfo.vastakis@gmail.com;pkaragounis3@gmail.com;treasurer1@velouchiusa.com;fotenak@gmail.com;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com;officemanager@velouchiusa.com;velouchi1@gmail.com","https://www.velouchi.org","","","0"
"aaaea.org","yes","no","45","career.center@naaaea.org","https://aaaea.org/about","","","0"
"oscargrantfoundation.org","yes","no","45","oscargrantfoundation0227@gmail.com","https://oscargrantfoundation.org/contact","","","0"
"www.gulfisri.com","yes","yes","40","","https://www.gulfisri.com","affiliate program","als Safety &amp; Compliance Workforce Management News All News Newsletter Sign Up Membership Membership Benefits Member Affiliate Programs Membership Renewal Member Directory Chapters About About Us Governance Leadership Staff Awards and Contests Careers Ou","2"
"cfslc.org","yes","no","45","info@cfslc.org","https://cfslc.org","","","0"
"www.cmca.com","yes","no","45","tracy@cmca.com;kate@cmca.com;office@cmca.com","https://www.cmca.com","","","0"
"www.ncbowls.com","yes","no","45","ncstateusbca@gmail.com;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;f36cc48fb72b4d298c835f2793cf3b84@sentry-next.wixpress.com;88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com;9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com;ed436f5053144538958ad06a5005e99a@sentry.wixpress.com;460ff4620fa44cba8df530afde949785@sentry.wixpress.com;8c4075d5481d476e945486754f783364@sentry.io;18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com;2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com;8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com;271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com;046c982186afa15dc9513490293d26b1@o37417.ingest.sentry.io;5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com","https://www.ncbowls.com","","","0"
"www.keystoneswana.org","yes","no","10","","","","","0"
"wyhsra.com","yes","no","45","filler@godaddy.com;thompsons@bbc.net","https://wyhsra.com","","","0"
"www.linemansrodeokc.com","yes","no","10","","","","","0"
"www.okcattlemen.org","yes","no","10","","","","","0"
"www.msascholarships.org","yes","no","45","user@domain.com;katie@msatp.org","https://www.msascholarships.org","","","0"
"www.cnoa.org","yes","no","45","info@cnoa.org;support@cnoa.org;membership@cnoa.org;training@cnoa.org","https://www.cnoa.org","","","0"
"www.conveniencecares.org","yes","no","45","koconnell@convenience.org","https://www.conveniencecares.org/contact","","","20"
"www.sacramentonlpoa.com","yes","no","45","sacramentolpoa@gmail.com","https://www.sacramentonlpoa.com","","","0"
"www.brpf.org","yes","no","45","info@brpf.org;lsanders@brpf.org","https://www.brpf.org","","","0"
"www.camarenafoundation.org","yes","no","45","info@camarenafoundation.org","https://www.camarenafoundation.org/contact","","","1"
"twhbea.com","yes","no","45","programs@twhbea.com;u003eprograms@twhbea.com;privacy@twhbea.com;rclardy@twhbea.com","https://twhbea.com/affiliate","","","2"
"jewishmiami.org","yes","no","45","information@jewishmiami.org","https://jewishmiami.org/privacy","","","1"
"www.afsascholarship.org","yes","yes","75","scholarship@firesprinkler.org;afsainfo@firesprinkler.org","https://www.afsascholarship.org","","","0"
"www.ctahperd.org","yes","no","10","","","","","0"
"www.ahma-nch.org","yes","no","45","info@ahma-nch.org;jvertovec@ahma-nch.org","https://www.ahma-nch.org","","","0"
"www.ficap.org","yes","no","45","michele@ficap.org","https://www.ficap.org","","","0"
"www.greatclubs.com","yes","yes","75","info@greatclubs.com","https://www.greatclubs.com","affiliate program","Logo Company About Us Shipping &amp; Return Policy FAQ Blog Accessibility Statement Contact Us Programs Corporate Gifts Affiliate Program Stay Connected info@greatclubs.com 800-800-9122 facebook instagram pinterest x Privacy policy Terms of Service Accessib","0"
"www.scconline.org","yes","no","45","scc@scconline.org;jeff@jlsystems.com","https://www.scconline.org","","","0"
"www.csac.ca.gov","yes","no","10","","","","","0"
"www.mntrucking.org","yes","no","45","mta@mntruck.org;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;8c4075d5481d476e945486754f783364@sentry.io;dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com;c183baa23371454f99f417f6616b724d@sentry.wixpress.com;88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com;9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com;460ff4620fa44cba8df530afde949785@sentry.wixpress.com;ed436f5053144538958ad06a5005e99a@sentry.wixpress.com;2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com;8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com;271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com;9b2d036865304345b559aff283cf26f3@sentry.wixpress.com","https://www.mntrucking.org","","","0"
"www.ohioschoolboards.org","yes","yes","40","","https://www.ohioschoolboards.org","affiliate program","Board Services Customized training, strategic planning, superintendent/treasurer searches, surveys and evaluations OSBA Affiliate Programs Outside vendors carefully selected to help districts with services needed for effective school management. Training an","0"
"txswana.org","yes","no","10","","","","","0"
"www.affcf.org","no","no","0","","","","","0"
"philaedfund.org","yes","no","45","info@philaedfund.org","https://philaedfund.org","","","0"
"www.shapeplus.com","yes","no","45","customerservice@shapeplus.com","https://www.shapeplus.com/privacy","","","0"
"www.wvaexpo.com","yes","no","45","info@wvaepo.com;info@wvaexpo.com","https://www.wvaexpo.com","","","0"
"www.plantcalifornia.com","yes","no","10","","","","","0"
"www.mainegolf.org","yes","no","45","info@mainegolf.org","https://www.mainegolf.org/contact","","","0"
"careers.blackrock.com","yes","no","45","reportascam@blackrock.com;disability.assistance@blackrock.com","https://careers.blackrock.com","","","0"
"www.ipma-hr.org","yes","yes","75","customerservice@pshra.org","https://www.ipma-hr.org/about","commission","Plan Objectives Our History PSHRA traces its history to 1906 and the founding of the National Assembly of Civil Service Commissions during the administration of Theodore Roosevelt. The organization’s purpose remained consistent through changes of nam","0"
"iraef.org","yes","no","45","mschaben@restaurantiowa.com","https://iraef.org","","","0"
"md.spacegrant.org","yes","no","45","mdsgc@jh.edu;mdsgo@jh.edu;cdillar2@jhu.edu;collinge@jhu.edu;jeimer1@jhu.edu;henry@jhu.edu;elambri1@jhu.edu","https://md.spacegrant.org","","","0"
"www.vsfa.org","yes","yes","75","the3insleys@verizon.net;kevin@chesterfieldinsurers.com;dcnichols@hamptonfire.org;paullogan@loganfireapparatus.com;treasurer@vsfa.org;ljbigdogdj@verizon.net;lsgwaltney@cox.net","https://www.vsfa.org","commission","EMSA here . If anyone receives a call from anyone&nbsp;claiming to represent the VSFA, please contact the Federal Trade Commission https://www.ftc.gov/ &nbsp; and use reference number 71213013 or&nbsp;call them at 877-382-4357&nbsp;and provide them i","0"
"www.nvtrappers.org","yes","no","10","","","","","14"
"connellyfdn.org","yes","no","45","info@connellyfdn.org;info@connellyfdn.og","https://connellyfdn.org","","","0"
"wyomingscottishrite.wildapricot.org","no","no","0","","","","","0"
"www.nevadafund.org","yes","no","45","info@nevadafund.org","https://www.nevadafund.org","","","0"
"nfbflorida.org","yes","no","45","president@nfbflorida.org","https://nfbflorida.org","","","0"
"www.musicalmerit.org","yes","no","45","musicalmerit@gmail.com;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;baf30a2b91654c5a840931f0137bed30@sentry.wixpress.com;0e6a29e4756740a8a63493e912ba2174@sentry.wixpress.com;8c30b2581acc426badc414e8a5dc04ef@sentry.wixpress.com;ed436f5053144538958ad06a5005e99a@sentry.wixpress.com;460ff4620fa44cba8df530afde949785@sentry.wixpress.com;2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com;271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com","https://www.musicalmerit.org","","","0"
"www.asclsmn.org","yes","no","45","ascls.minnesota@gmail.com;ascls@ascls.org","https://www.asclsmn.org","","","0"
"www.redshirtnation.com","yes","no","45","nationalaaowebmaster@gmail.com;redshirteditor@gmail.com;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;8c4075d5481d476e945486754f783364@sentry.io;88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com;f36cc48fb72b4d298c835f2793cf3b84@sentry-next.wixpress.com;9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com;ed436f5053144538958ad06a5005e99a@sentry.wixpress.com;460ff4620fa44cba8df530afde949785@sentry.wixpress.com;dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com;c183baa23371454f99f417f6616b724d@sentry.wixpress.com;8c30b2581acc426badc414e8a5dc04ef@sentry.wixpress.com;18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com;8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com;271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com;5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com","https://www.redshirtnation.com","","","0"
"www.river-rats.org","yes","no","45","execdir@river-rats.org;info@river-rats.org","https://www.river-rats.org","","","0"
"www.ncnurses.org","yes","yes","75","rns@ncnurses.org","https://www.ncnurses.org","commission","ved Provider (AP) Status Scholarships Scholarship Opportunities for Nurses and Students Networking&nbsp; Councils &amp; Commissions Southeast Regional Advisory Council Early Career Nurse Council Council on Diversity and Belonging in Nursing Council o","1"
"www.ltzfoundation.org","yes","no","45","605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com;2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com;8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com","https://www.ltzfoundation.org","","","0"
"www.cfbroward.org","yes","no","45","info@cfbroward.org;kmarmol@cfbroward.org;mmtoole@cfbroward.org;cbrown@cfbroward.org;grants@cfbroward.org;scholarships@cfbroward.org;kenglehardt@cfbroward.org","https://www.cfbroward.org","","","0"
"remnpmfoundation.org","yes","no","45","info@remnpmfoundation.org","https://remnpmfoundation.org","","","0"
"sdga.org","yes","no","45","admin@44interactive.com;sdgainfo@sdga.org;tom@sdga.org;joel@sdga.org;dean@sdga.org;scott@sdga.org;julie@sdga.org;kelli@sdga.org;unsubscribe@sdga.org","https://sdga.org","","","3"
"www.tfrw.org","yes","no","45","tfrw@tfrw.org;rachael.d.peters@gmail.com","https://www.tfrw.org","","","0"
"www.kyelectric.coop","yes","no","10","","","","","25"
"www.iascnapa.org","yes","no","45","iascnapainfo@gmail.com;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;8c4075d5481d476e945486754f783364@sentry.io;dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com;c183baa23371454f99f417f6616b724d@sentry.wixpress.com;88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com;8c30b2581acc426badc414e8a5dc04ef@sentry.wixpress.com;2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com;8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com","https://www.iascnapa.org","","","0"
"www.kohlberg-manacherfoundation.com","yes","no","10","","","","","0"
"www.ahasc.org","yes","no","45","ahasocal@yahoo.com","https://www.ahasc.org","","","0"
"www.fc2success.org","yes","no","45","info@fc2success.org;scholarships@fc2success.org","https://www.fc2success.org/contact","","","0"
"www.kypolicechiefs.org","yes","no","10","","","","","13"
"northamericangamebird.com","yes","no","10","","","","","0"
"metgcsa.org","yes","no","45","director@metgcsa.org","https://metgcsa.org","","","0"
"latinosunidosofiowa.org","yes","no","45","info@latinosunidosofiowa.org","https://latinosunidosofiowa.org","","","0"
"www.texasbuildersfoundation.org","yes","no","45","info@texasbuildersfoundation.org","https://www.texasbuildersfoundation.org","","","0"
"www.nucacolorado.com","yes","no","45","support@wildapricot.com;christine.barnes@nucacolorado.com","https://www.nucacolorado.com","","","2"
"www.roea.org","yes","yes","40","","https://www.roea.org","commission","&amp; By-Laws and Official Documents Episcopate Council Deaneries Romanian Orthodox Vicariate of Canada Departments and Commissions Department of Christian Assistance Department of Missions (United States) Department of Missions (Canada) Department o","0"
"www.genkellyscholarship.com","yes","no","45","user@domain.com;info@gkscholarship.com","https://www.genkellyscholarship.com","","","0"
"www.mainemfg.com","yes","no","45","info@mainemfg.com;john@mainemfg.com;mmccann@mainemfg.com","https://www.mainemfg.com/contact","","","0"
"www.fgcu.edu","yes","yes","75","info@fgcu.edu","https://www.fgcu.edu","","","0"
"www.michaelmoodyfitness.com","yes","no","45","michael@michaelmoodyfitness.com;user@domain.com","https://www.michaelmoodyfitness.com","","","0"
"www.saccomannoed.org","yes","no","10","","","","","13"
"swawwa.org","yes","no","45","info@utilityeda.com;info@swawwa.org","https://swawwa.org/contact","","","0"
"www.southeastemmy.com","yes","no","45","emmyoffice@southeastemmy.com","https://www.southeastemmy.com","","","0"
"www.isiafoundation.org","yes","no","10","","","","","0"
"www.swamidayanand.org","yes","no","45","user@domain.com;coordinator@swamidayanand.org;scholarships@swamidayanand.org","https://www.swamidayanand.org","","","0"
"rainbowchamber.com","yes","no","10","","","","","0"
"www.njsharingnetwork.org","yes","no","45","cdeappolonio@njsharingnetwork.org;contactus@sharingnetworkfoundation.org","https://www.njsharingnetwork.org","","","0"
"emsscholarship.com","yes","no","10","","","","","13"
"www.internationalinsuranceprofessionals.org","yes","no","10","","","","","0"
"www.awam.org","yes","no","10","","","","","0"
"jsf.bz","yes","no","45","foundation@jsf.bz","https://jsf.bz","","","0"
"maine-anjou.org","yes","no","45","maine@amaapc.com","https://maine-anjou.org/partners","","","2"
"www.nucaflorida.org","yes","no","45","theresa@nucaflorida.org;karen@nucaflorida.org;khebrank@carltonfields.com","https://www.nucaflorida.org","","","0"
"www.mymaryland4hfoundation.com","yes","no","45","info@mymaryland4hfoundation.com","https://www.mymaryland4hfoundation.com/partners","","","21"
"www.manosdeesperanza.org","yes","no","45","manosdeesperanza@att.net;info@manosdeesperanza.org","https://www.manosdeesperanza.org/contact","","","0"
"www.spcollege.edu","yes","no","45","webcontent@spcollege.edu;residencydocuments@spcollege.edu;admissions.records@spcollege.edu;transcript.evaluator@spcollege.edu;spctranscripts@spcollege.edu","https://www.spcollege.edu","","","0"
"sebrangus.com","yes","no","10","","","","","0"
"www.agifedfoundation.org","yes","no","45","helen.galvan@gmail.com","https://www.agifedfoundation.org/contact","","","0"
"www.kimberlycoffeyfoundation.org","yes","no","45","user@domain.com;patti@kimberlycoffeyfoundation.org","https://www.kimberlycoffeyfoundation.org","","","0"
"centexmoaa.org","yes","yes","75","hornat@gmail.com;wnance@hot.rr.com","https://centexmoaa.org","commission","as part of Operation Desert Storm. After completing his undergraduate degree at Texas Tech in 1995, Judge Faulkner was commissioned as a lieutenant in the Transportation Corps. In 1998,he attended Baylor Law School as part of the Army’s Funded Legal","0"
"www.bryancameroneducationfoundation.org","yes","no","45","admin@bryancameronef.org","https://www.bryancameroneducationfoundation.org","","","0"
"www.nucasf.com","yes","no","45","ucasfl@gmail.com","https://www.nucasf.com","","","0"
"www.usw.org","yes","yes","75","bdk4@psu.edu;webmaster@usw.org","https://www.usw.org/contact","","","0"
"valencia.org","no","no","0","","","","","26"
"www.latinopilot.org","yes","no","45","user@domain.com","https://www.latinopilot.org","","","0"
"www.mica-national.org","yes","no","45","dfa@micorps.org;president@micorps.org;vicepresident@micorps.org;secretary@micorps.org;treasurer@micorps.org;vanguard@micorps.org;micastore@micorps.org;technology@micorps.org;marketing@micorps.org;directorofchapters@micorps.org","https://www.mica-national.org","","","0"
"www.solanocf.org","yes","no","10","","","","","0"
"www.fhsra.com","yes","no","45","rburkett87@gmail.com","http://www.fhsra.com","","","13"
"www.mdvietmutual.org","yes","no","45","info@mdvietmutual.org;robert.riley@mdvietmutual.org","https://www.mdvietmutual.org","","","1"
"www.aab.org","yes","no","10","","","","","0"
"www.isgur.org","yes","no","45","user@domain.com","https://www.isgur.org","","","0"
"www.sanjac.edu","yes","no","45","information@sjcd.edu;industry.partners@sjcd.edu","https://www.sanjac.edu","","","0"
"www.computer.org","yes","no","10","","","","","0"
"www.pftaylorfoundation.org","yes","no","10","","","","","0"
"www.nefda.com","yes","no","45","nefda@nefda.com","https://www.nefda.com","","","0"
"www.hfmd.org","yes","no","10","","","","","13"
"cincinnatischolarshipfoundation.org","yes","no","45","info@cincinnatischolarshipfoundation.org","https://cincinnatischolarshipfoundation.org","","","0"
"www.fit.edu","yes","no","45","admission@fit.edu;grad-admission@fit.edu;finaid@fit.edu;transcripts@fit.edu;webservices@fit.edu;abareg@fit.edu;privacy@fit.edu","https://www.fit.edu/contact","","","0"
"www.sfacf.org","yes","no","45","info@sfacf.org;info@clickrain.com","https://www.sfacf.org","","","0"
"www.mdhsra.org","yes","no","45","605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;8c4075d5481d476e945486754f783364@sentry.io;88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com;9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com;ed436f5053144538958ad06a5005e99a@sentry.wixpress.com;460ff4620fa44cba8df530afde949785@sentry.wixpress.com;1eeb89147c984dc6bc3ffafd9e6cd089@sentry.wixpress.com;baf30a2b91654c5a840931f0137bed30@sentry.wixpress.com;0e6a29e4756740a8a63493e912ba2174@sentry.wixpress.com;f36cc48fb72b4d298c835f2793cf3b84@sentry-next.wixpress.com;8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com;2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com;271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com","https://www.mdhsra.org","","","0"
"scholarship.sealaskaheritage.org","yes","no","10","","","","","13"
"www.wpcsa.org","yes","no","45","info@welshpony.org;secretary@welshpony.org;odysseynor@aol.com;mail@newenglandwelsh.org;kelviden@yahoo.com;bpyron@hughes.net;louisenice@aol.com;lazyjearly@aol.com;info@domain.ltd;thegem@domain.ltd;info@domain.tld;anderson@gmail.com","https://www.wpcsa.org","","","0"
"www.davidmalcolmscholarship.com","yes","no","45","info@davidmalcolmscholarship.com;u003edaryl@unviersity.com","https://www.davidmalcolmscholarship.com","","","0"
"osse.dc.gov","yes","no","45","patience.peabody@dc.gov;osse@dc.gov","https://osse.dc.gov","","","0"
"www.mfda.us","yes","no","10","","","","","0"
"www.cfsarasota.org","yes","no","10","","","","","0"
"www.adgfoundation.org","yes","no","45","mail@adgfoundation.org","https://www.adgfoundation.org","","","0"
"cmaagulfcoast.org","yes","no","10","","","","","0"
"www.gslbaa.org","yes","no","10","","","","","0"
"www.snowdropfoundation.org","yes","no","10","","","","","0"
"www.nfbwv.org","yes","no","45","mailtoslk8332015@gmail.com;slk8332015@gmail.com","https://www.nfbwv.org","","","0"
"scholarships.appstate.edu","yes","no","45","scholarships@appstate.edu;financialaid@appstate.edu","https://scholarships.appstate.edu","","","0"
"www.ncsecufoundation.org","yes","no","45","secufoundation@ncsecu.org","https://www.ncsecufoundation.org","","","0"
"www.lee.foundation","yes","no","45","info@lee.foundation;callaire@lee.foundation;jarcarabaxter@lee.foundation;jmogavero@lee.foundation;rquimby@lee-capital.com;gschnell@lee.foundation;kwalsh@lee.foundation","https://www.lee.foundation/contact","","","0"
"indianawea.org","yes","no","45","staff@indianawea.org","https://indianawea.org/contact","","","0"
